tamanyo,distancia-trie,1,2,4,5,7
2500,dNo,0.0239870748571488,0.06018846914285596,0.1560390931428553,0.1976049674285724,0.24019087685715007
2500,dYes,0.04910426471428954,0.062184442142853444,0.07647103428570556,0.08066264099999053,0.0811924825714315
2500,iNo,0.027669877857144972,0.0702827958571433,0.18356622471428305,0.23504208885714198,0.289211256571428
2500,iYes,0.20908436800000313,0.2410582731428581,0.2631645902857112,0.26038260185715173,0.2551091765714332
2500,lNo,0.04286901500000036,0.04402984814285728,0.058291036857142035,0.07007808099999971,0.08101534457142845
2500,lYes,0.05921252557144458,0.07526115942856783,0.09219457414285573,0.09471589228571105,0.09555914199999926
10000,dNo,0.08663339928572175,0.21852129571427661,0.6014388699999993,0.7738141604285625,0.9789468917142929
10000,dYes,0.25074464314286515,0.29510441042856933,0.32244524100000405,0.3410970821428571,0.32318259199999844
10000,iNo,0.09808252171427838,0.2533789938571432,0.7177482960000036,0.92002320942858,1.16752999928571
10000,iYes,0.9409620851428654,1.0183534451428553,1.0056563318571474,1.002530668857146,1.0028622101428548
10000,lNo,0.16697850442857254,0.1742496797142896,0.22784639214285743,0.2749907525714261,0.32593154514286404
10000,lYes,0.3041845737142932,0.3523544308571425,0.38188969214286167,0.3734457184285664,0.3810942084285721
35000,dNo,0.22542995028571508,0.5443772407142902,1.4324764028571388,1.8366268008571325,2.28512991042857
35000,dYes,0.6475118852857088,0.6718369924285733,0.6996386911428552,0.7097594951428583,0.7134197317142912
35000,iNo,0.2520650615714354,0.6407512588571355,1.7684642628571454,2.283069756285704,3.0356074637142787
35000,iYes,2.209568063428571,2.2464223444285696,2.231384961142855,2.2344473247142806,2.237416299142858
35000,lNo,0.3858755900000079,0.4082234857142884,0.5306190060000046,0.6294306602857017,0.7377280195714268
35000,lYes,0.7218368709999895,0.7980993260000113,0.8372367222857215,0.8392658471428456,0.8333771974285611
